Age,mort_r_f,mort_r_m
0,6.82E-05,8.38E-05
1,4.52E-06,4.48E-06
2,2.94E-06,2.60E-06
3,1.92E-06,1.60E-06
4,1.42E-06,1.40E-06
5,1.56E-06,1.58E-06
6,1.77E-06,1.87E-06
7,1.12E-06,9.62E-07
8,9.81E-07,9.42E-07
9,8.65E-07,1.06E-06
10,1.40E-06,1.35E-06
11,1.02E-06,1.60E-06
12,7.50E-07,2.17E-06
13,1.77E-06,2.62E-06
14,2.15E-06,2.12E-06
15,2.04E-06,2.65E-06
16,2.42E-06,4.08E-06
17,3.19E-06,5.54E-06
18,4.73E-06,7.15E-06
19,3.75E-06,8.42E-06
20,3.73E-06,1.06E-05
21,4.12E-06,1.04E-05
22,4.92E-06,1.04E-05
23,4.29E-06,9.69E-06
24,4.87E-06,1.13E-05
25,4.44E-06,1.17E-05
26,5.37E-06,1.14E-05
27,6.38E-06,1.29E-05
28,5.81E-06,1.33E-05
29,6.77E-06,1.43E-05
30,7.65E-06,1.58E-05
31,8.04E-06,1.62E-05
32,8.25E-06,1.67E-05
33,8.90E-06,1.85E-05
34,1.11E-05,1.77E-05
35,1.10E-05,2.11E-05
36,1.18E-05,2.07E-05
37,1.52E-05,2.50E-05
38,1.44E-05,2.54E-05
39,1.63E-05,2.67E-05
40,1.84E-05,2.95E-05
41,1.91E-05,3.05E-05
42,2.14E-05,3.26E-05
43,2.17E-05,3.63E-05
44,2.53E-05,4.10E-05
45,2.86E-05,4.59E-05
46,3.12E-05,4.84E-05
47,3.24E-05,5.09E-05
48,3.46E-05,5.36E-05
49,3.67E-05,5.97E-05
50,4.23E-05,6.63E-05
51,4.62E-05,7.04E-05
52,4.79E-05,7.33E-05
53,4.96E-05,8.04E-05
54,5.62E-05,8.64E-05
55,6.13E-05,9.10E-05
56,6.73E-05,0.000105231
57,7.35E-05,0.000108442
58,7.87E-05,0.000119827
59,8.80E-05,0.00013225
60,9.64E-05,0.00014325
61,0.000102712,0.000155635
62,0.000123115,0.000176885
63,0.000124923,0.000188885
64,0.00013825,0.000207538
65,0.000151212,0.000229558
66,0.000159346,0.0002485
67,0.000176923,0.000273173
68,0.000195404,0.000297404
69,0.000213,0.000327904
70,0.000239769,0.000346327
71,0.0002515,0.000391577
72,0.000277538,0.000405135
73,0.000330538,0.000475558
74,0.000363212,0.000529981
75,0.000392712,0.000585788
76,0.000444038,0.000645327
77,0.000505077,0.000712096
78,0.000578808,0.000833135
79,0.000657885,0.000908077
80,0.000729904,0.001021404
81,0.000817885,0.001117481
82,0.000920558,0.00124625
83,0.001046769,0.001410558
84,0.001187212,0.001586788
85,0.001353019,0.001786519
86,0.001551,0.001985981
87,0.001729769,0.002192827
88,0.001958923,0.002505423
89,0.002195673,0.002811308
90,0.002506077,0.002959865
91,0.002784038,0.003343192
92,0.003089692,0.003618404
93,0.003362077,0.004019385
94,0.003724269,0.004490173
95,0.004176519,0.004827962
96,0.004585212,0.005272808
97,0.004990712,0.005633692
98,0.005541865,0.006210712
99,0.005572365,0.006728019
100,0.006270865,0.007022288
